[warn] 北京时间 17:50 处于高峰时段(9-12/14-18)，API 两倍价——冒烟无所谓，放量请换低谷
total=9000 done=50 todo=8987
[730/8987] ok=730 rej=0 flagged=83 calls=749 in_miss=278733 in_hit=1127680 out=94653 ≈¥1.879(标准价, 低谷约半)
[740/8987] ok=740 rej=0 flagged=84 calls=759 in_miss=282229 in_hit=1143040 out=95950 ≈¥1.904(标准价, 低谷约半)
[750/8987] ok=750 rej=0 flagged=84 calls=769 in_miss=285780 in_hit=1158400 out=97112 ≈¥1.928(标准价, 低谷约半)
[760/8987] ok=760 rej=0 flagged=85 calls=779 in_miss=289129 in_hit=1173760 out=98445 ≈¥1.953(标准价, 低谷约半)
[770/8987] ok=770 rej=0 flagged=85 calls=789 in_miss=292259 in_hit=1189120 out=99688 ≈¥1.977(标准价, 低谷约半)
[780/8987] ok=780 rej=0 flagged=86 calls=799 in_miss=295624 in_hit=1204480 out=100928 ≈¥2.001(标准价, 低谷约半)
[790/8987] ok=790 rej=0 flagged=90 calls=809 in_miss=299004 in_hit=1219840 out=102209 ≈¥2.026(标准价, 低谷约半)
[800/8987] ok=800 rej=0 flagged=91 calls=819 in_miss=301806 in_hit=1235200 out=103380 ≈¥2.048(标准价, 低谷约半)
[810/8987] ok=810 rej=0 flagged=91 calls=829 in_miss=304860 in_hit=1250560 out=104456 ≈¥2.071(标准价, 低谷约半)
[820/8987] ok=820 rej=0 flagged=92 calls=839 in_miss=308044 in_hit=1265920 out=105674 ≈¥2.094(标准价, 低谷约半)
[830/8987] ok=830 rej=0 flagged=92 calls=849 in_miss=311672 in_hit=1281280 out=107052 ≈¥2.120(标准价, 低谷约半)
[840/8987] ok=840 rej=0 flagged=94 calls=859 in_miss=315181 in_hit=1296640 out=108287 ≈¥2.145(标准价, 低谷约半)
[850/8987] ok=850 rej=0 flagged=97 calls=869 in_miss=318817 in_hit=1312000 out=109564 ≈¥2.170(标准价, 低谷约半)
